channel,id,date,text,ad
kunonline,11886.0,2023-04-27 02:30:28+00:00,Londonning ICE birjasida Brent navli neftning narxi 31-martdan buyon ilk bor barreliga 78 dollarlik koʻrsatkichdan pastga tushdi.  👉,0.0
kunonline,11887.0,2023-04-27 02:43:02+00:00,🇹🇷 Turkiya prezidenti maʼmuriyatining kommunikatsiyalar boshqarmasi shafeligi ostida tuzilgan dezinformatsiyaga qarshi kurashish markazi prezident Rajab Toyyib Erdoʻgʻanning infarktga uchragani va kasalxonaga yotqizilgani haqidagi maʼlumotlarni inkor etib chiqdi.  👉,0.0
kunonline,11888.0,2023-04-27 03:02:08+00:00,🇹🇷 Turkiya prezidenti Rajab Toyyib Erdoʻgʻan 27-aprel kuni 4ta turk telekanallariga berishi rejalashtirilgan intervyusini bekor qildi.  👉,0.0
kunonline,11889.0,2023-04-27 03:15:10+00:00,"Yevropada tabiiy gazning birja narxlari 2,5 foizga pasayib, 1000 kub metri uchun 442 dollargacha tushgan.  👉",0.0
kunonline,11890.0,2023-04-27 03:30:51+00:00,"🇬🇧 Britaniyalik deputatlar Rossiyaning “Vagner” xususiy harbiy kampaniyasini Sudandagi, Darfur muzofotidagi, shuningdek Burkina-Faso, Mali va Niger chegarasidagi buzgʻunchilik harakatlari uchun terrorchilik tashkiloti deb eʼlon qilishga chaqirishdi.  👉",0.0
kunonline,11891.0,2023-04-27 03:46:02+00:00,🇧🇷 Braziliya sudi politsiya soʻroviga koʻra maʼlumotlarni toʻliq yetkazmayotgani uchun Telegram messenjeri ishini toʻxtatish haqida qaror chiqardi — Reuters  👉,0.0
kunonline,11892.0,2023-04-27 04:01:03+00:00,"🇨🇳 Mart oyida Xitoyda milliy valyuta yuan transchegaraviy pul oʻtkazmalarida AQSH dollaridan oʻzib, eng koʻp foydalanilgan valyutaga aylandi. Oʻtkazmalarda qariyb 550 mlrd dollarlik yuandan foydalanilgan.  👉",0.0
kunonline,11893.0,2023-04-27 04:15:09+00:00,🇲🇩 “Men Moldova shu oʻn yillik oxirigacha Yevropa Ittifoqining toʻlaqonli aʼzosiga aylanishiga qattiq ishonaman” — Moldova prezidenti Mayya Sandu  👉,0.0
kunonline,11894.0,2023-04-27 04:34:01+00:00,"Sharqiy Yevropa davlatlari Ukrainadagi urush fonida qarz miqdorining keskin oʻsishiga duchor boʻlishmoqda — Bloomberg.    Agentlikning maʼlumotlariga koʻra, Sharqiy Yevropa davlatlari hukumatlari dastlabki uch oyda 32 mlrd dollar qarz koʻtarishgan. Bu oʻtgan yilning shu davriga nisbatan uch barobar koʻp.  👉",0.0
kunonline,11895.0,2023-04-27 05:00:17+00:00,"Jo Bayden agar AQSH va uning ittifoqchilariga yadroviy zarba berishga harakat qilsa, KXDRda “rejimni almashtirishi” bilan tahdid qildi    Bayden shuningdek KXDR bilan diplomatik sohada oʻsishga erishishga intilayotgani, biroq Vashingtonning Seul oldidagi yadroviy majburiyatlari daxlsiz ekanini ham qoʻshimcha qildi.  👉",0.0
kunonline,11896.0,2023-04-27 07:09:49+00:00,“Gazprom media”ga qarashli Rutube videohostingiga texnik tomondan YouTubeʻga yetib olishi uchun 30 milliard rubl ajratilishi rejalashtirilmoqda.  👉,0.0
kunonline,11897.0,2023-04-27 07:25:16+00:00,"__“Men xorijiy kompaniyalar va tadbirkorlar bilan koʻproq muloqot qilishga intilaman. Sizlarning gʻoya, taklif va tashabbuslaringiz menga kuch-gʻayrat beradi, yangi islohotlarga undaydi. Shu bois, yangi-yangi investorlar bilan tez-tez uchrashuvlar oʻtkazishga, sizlarning yurtimizdagi yutuqlaringizni shaxsan kafolatlashga tayyorman”__, — dedi ikkinchi Toshkent xalqaro investitsiya forumida nutq soʻzlayotgan Shavkat Mirziyoyev.  👉",0.0
kunonline,11898.0,2023-04-27 07:30:01+00:00,"“Alohida taʼkidlab oʻtmoqchiman, Jahon savdo tashkiloti talablari islohotlarimiz mazmuniga toʻla mos va biz ushbu nufuzli tashkilotga tezroq aʼzo boʻlib kirishdan manfaatdormiz”, — dedi Shavkat Mirziyoyev.  👉",0.0
kunonline,11899.0,2023-04-27 07:35:17+00:00,"“Hech shubhasiz, yangi Konstitutsiya — biz boshlagan islohotlarni izchil davom ettirib, eng muhimi, ularga ortga qaytmaydigan tus berishi muqarrar”, — dedi Shavkat Mirziyoyev.  👉",0.0
kunonline,11900.0,2023-04-27 08:03:20+00:00,"Bu yil Andijon, Namangan, Buxoro va Urganch aeroportlari boshqaruvi ham xususiy sektorga topshiriladi — Prezident    “Temiryo`l sohasida ham katta o`zgarishlarni boshlayapmiz va bunda investorlar faol ishtirok etishlarini so`rab qolaman”, – dedi Shavkat Mirziyoyev.  👉",0.0
kunonline,11901.0,2023-04-27 08:26:02+00:00,🇹🇷 Turkiya prezidenti   Rajab Toyyib Erdoʻgʻan   “Aqquya” atom elektr stansiyasiga Rossiyadan yadroviy yonilg`i keltirib quyilishi marosimidagi efirga   Toshkent vaqti bilan soat 15:30 da   chiqishini maʼlum qildi.  👉,0.0
kunonline,11902.0,2023-04-27 08:54:52+00:00,Rossiya mudofaa vaziri o'rinbosari general-polkovnik Mixail Mizinsyov ishdan olingani aytilmoqda.  👉,0.0
kunonline,11903.0,2023-04-27 09:26:00+00:00,Ukraina xavfsizlik xizmati Donetsk viloyatida ukrain harbiylarining Limandagi pozitsiyalari haqida ruslarga ma'lumot bergan odamni ushladi.  👉,0.0
kunonline,11906.0,2023-04-27 09:41:20+00:00,«Pele» so'zi portugal tili lug'atiga «eng yaxshi» so'zining ma'nodoshi sifatida kiritildi.  👉,0.0
kunonline,11907.0,2023-04-27 10:11:23+00:00,Erdo'g'anning chiqishi «ba'zi sabablarga ko'ra» yarim soat keyinga surildi.  👉,0.0
kunonline,11908.0,2023-04-27 10:43:57+00:00,"Turkiya prezident devoni:   Erdo'g'an mamlakatni hali uzoq vaqt boshqaradi, u favqulodda sog'lom.  👉",0.0
kunonline,11909.0,2023-04-27 11:02:50+00:00,"🔺AQSH dollarining rasmiy kursi oshdi    Markaziy bank 28-apreldan xorijiy valutalarning o`zbek so`miga nisbatan yangi qiymatini belgiladi.  🇺🇸 USD 11 390,24 so`m (+13,13) 🇷🇺 RUB 139,74 so`m (+0,33) 🇪🇺 EUR 12 572,55 so`m (+9,95)  👉",0.0
kunonline,11910.0,2023-04-27 11:25:24+00:00,🇷🇺 Rossiya Davlat dumasiga “chet el agentlari”ga yordam beruvchilarni 300 ming rubl jarimaga tortish boʻyicha qonun loyihasi kiritildi.  👉,0.0
kunonline,11911.0,2023-04-27 13:02:03+00:00,Rossiya Mudofaa vazirligi shartnoma asosida xizmat qiluvchi 415 ming harbiyni yollamoqchi va ulardan 115 mingini Ukrainadagi urushga tashlamoqchi — AQSH razvedkasi  👉,0.0
kunonline,11912.0,2023-04-27 13:31:25+00:00,"Rajab Toyyib Erdo`g`an Vladimir Putin bilan telefon orqali muloqot qildi.   Turkiya nashrlari Erdo`g`anning muloqot chog`ida olingan fotosuratlarini namoyish etdi  TRT Haber telekanaliga ko`ra, tomonlar Ukrainadagi urush va «g`alla kelishuvi»ni muhokama qilgan.  👉",0.0
kunonline,11913.0,2023-04-27 13:47:35+00:00,Erdo`g`an va Putin videoaloqa orqali «Oqquyu» AESga yadro yoqilg`isini yetkazib berish marosimida ishtirok etmoqda  👉,0.0
kunonline,11914.0,2023-04-27 14:55:03+00:00,AQSH va Yevropa Ittifoqi emissarlari Qozogʻiston va Qirgʻizistonni ikkilamchi sanksiyalar xavfidan ogohlantirishdi.  👉,0.0
kunonline,11915.0,2023-04-27 14:59:09+00:00,"Bugun xalqimizga bergan yana bir vaʼdamizni uddaladik. Atom obyekti statusiga ega boʻlgan Aqquyu ishga tushirilganidan barchamiz xursandmiz, deb oʻylayman — Rajab Toyyib Erdoʻgʻan  👉",0.0
kunonline,11916.0,2023-04-27 15:36:21+00:00,AQSHning Florida va Texas shtatlarida beysbol koptogi kattaligida doʻl yogʻdi — CNN  👉,0.0
kunonline,11917.0,2023-04-27 18:29:49+00:00,Yevropa Kengashining Parlament assambleyasi Rossiya Federatsiyasi prezidenti Vladimir Putinni hibsga olish toʻgʻrisidagi orderni rasman tasdiqladi.  👉,0.0
kunonline,11918.0,2023-04-28 02:45:13+00:00,🇪🇺 Yevropa kengashi Parlament assambleyasi ukrainalik bolalarning Rossiyaga deportatsiyasini genotsid deb tan oldi.  👉,0.0
kunonline,11919.0,2023-04-28 03:01:05+00:00,"🇰🇬 Qirgʻiziston sudi “Ozodlik” radiosining qirgʻiz xizmati faoliyatini taqiqladi    Bishkekning Lenin rayon sudi Madaniyat vazirligining arziga koʻra, “Azattiq” (“Ozodlik”) tahririyati faoliyatini Qirgʻizistonda tugatish toʻgʻrisida qaror chiqardi.  👉",0.0
kunonline,11920.0,2023-04-28 03:15:15+00:00,"🇺🇦   Ukraina hududini minalardan tozalash uchun 40 mlrd dollar mablagʻ kerak boʻladi    Ukraina bosh vaziri oʻrinbosari Vereshchukning aytishicha, agar ish hozirgi  surʼatlarda davom etsa, minalardan tozalash uchun 70 yil zarur boʻladi.  👉",0.0
kunonline,11921.0,2023-04-28 03:30:36+00:00,"🇷🇺   Putin okkupatsiya qilingan hududlardan ukrainlarni deportatsiya qilishga ruxsat berdi    RF prezidenti farmoniga koʻra, okkupatsiya qilingan hududlarda Rossiya fuqaroligini olishdan bosh tortgan fuqarolar xorijliklar hisoblanadi. Bunday insonlar milliy xavfsizlikka tahdid deb topilsa ular deportatsiya qilinadi.  👉",0.0
kunonline,11922.0,2023-04-28 03:45:13+00:00,🇺🇸 AQSH Rossiya Federatsiyasi Federal xavfsizlik xizmati hamda Eron Islom Respublikasining Islom inqilobi muhofizlari korpusiga “Amerika fuqarolarini noqonuniy hibs etganlik uchun” sanksiyalar joriy qilmoqda — Bayden administratsiyasi.  👉,0.0
kunonline,11923.0,2023-04-28 04:01:03+00:00,"🇧🇷   Braziliya prezidenti BRICS valutasini yaratishni qoʻllab-quvvatlashini bildirdi — Reuters    Luis Inasio Lula da Silva BRICS (Braziliya, Rossiya, Hindiston, Xitoy va Janubiy Afrika) doirasida euro singari yagona valuta yaratish gʻoyasini qoʻllab-quvvatlashini bildirdi.  “Oltin pariteti bekor qilingach, AQSH dollari savdo valutasi boʻlishi haqida oʻzi kim qaror qabul qilgan?” — degan Lula.  👉",0.0
kunonline,11924.0,2023-04-28 04:10:02+00:00,Rossiya qurolli kuchlari Ukrainaning Cherkass oblasti Uman shahridagi koʻp qavatli turar joylardan biriga zarba bergani aytilmoqda. Qurbon boʻlganlar va yaradorlar bor  👉,0.0
kunonline,11925.0,2023-04-28 04:17:02+00:00,"Rossiya Kaspiy dengizi hududidan turib Tu-95 raketa tashuvchi samolyotidan Ukraina tomon 23 raketa, 2 ta zarbdor pilotsiz parvoz qurilmasi uchirgan. Raketalarning 21 tasi va PPQlar urib tushirilgan — general Zalujniy  👉",0.0
kunonline,11926.0,2023-04-28 04:25:13+00:00,"Telegram missiyasi — butun dunyo boʻylab maxfiylik va soʻz erkinligini saqlab qolish — Pavel Durov    Braziliya sudi biz texnik tomondan imkonsiz boʻlgan maʼlumotlarni talab qildi. Biz bu qaror ustidan arz qilamiz va yakuniy qarorni kutamiz. Bizga qanchaga tushishidan qatʼi nazar, biz braziliyalik foydalanuvchilarimizning shaxsiy soʻzlashuvga boʻlgan huquqlarini himoya qilamiz, — deb yozdan Telegram asoschisi.  👉",0.0
kunonline,11927.0,2023-04-28 04:40:14+00:00,🇺🇦 Ukrainaning frontda qarshi hujumga oʻtmayotganining asosiy sababi — Gʻarbning ogʻir qurol-yarogʻlarni oʻz vaqtida va yetarli tarzda yetkazib bermayotgani — Neue Zürcher Zeitung.  👉,0.0
kunonline,11928.0,2023-04-28 04:50:12+00:00,🇮🇳 Hindiston poytaxti Dehli shahrida bugun Shanghay hamkorlik tashkilotiga aʼzo davlatlar mudofaa vazirlarining yigʻilishi boʻlib oʻtadi.  👉,0.0
kunonline,11929.0,2023-04-28 05:00:25+00:00,🇺🇸 AQSH shu hafta ichida Ukrainaga qurol-yarogʻlarni tezlashtirilgan tartibda yetkazish masalasini muhokama qilish uchun NATO va Yevropa Ittifoqidagi 40 dan ortiq ittifoqchilari bilan Brussel shahrida uchrashadi — Pentagon  👉,0.0
kunonline,11930.0,2023-04-28 05:30:20+00:00,🇹🇷 Turkiyaning beshinchi avlodga mansub ilk harbiy uchogʻi dastlabki parvozga tayyor  👉,0.0
kunonline,11931.0,2023-04-28 06:37:18+00:00,Ukrainaning Uman shahrida raketa zarbasidan halok boʻlganlar soni 9 kishiga yetdi. Yana 9 kishi ogʻir ahvolda kasalxonaga yotqizilgan.  👉,0.0
kunonline,11932.0,2023-04-28 07:02:31+00:00,Rossiya oʻzining Qirgʻiziston va Tojikistondagi harbiy bazalari jangovar tayyorgarligini oshiradi — RF mudofaa vaziri Sergey Shoygu  👉,0.0
kunonline,11933.0,2023-04-28 07:14:01+00:00,"🇺🇦“Ukrainaga qo`shimcha 80 ta Leopard 1 tanklarini yetkazib berish 2023-yilning o`rtalarida boshlanadi”, — dedi Germaniya mudofaa vaziri Boris Pistorius  👉",0.0
kunonline,11934.0,2023-04-28 09:31:22+00:00,"Rossiyalik harbiylarning Cherkass oblasti Uman shahriga yo`llagan raketa zarbasi qurbonlari soni 11 nafarga yetdi, halok bo`lganlarning ikki nafari yosh bolalar  👉",0.0
kunonline,11935.0,2023-04-28 11:05:56+00:00,"🔺AQSH dollarining rasmiy kursi oshdi    Markaziy bank 1-maydan xorijiy valutalarning o`zbek so`miga nisbatan yangi qiymatini belgiladi.  🇺🇸 USD 11 408,01 so`m (+17,77) 🇷🇺 RUB 141,52 so`m (+1,78) 🇪🇺 EUR 12 536,26 so`m (–36,29)  👉",0.0
kunonline,11936.0,2023-04-28 12:18:58+00:00,Ukrainaning Uman shahrida raketa zarbasidan soʻng vafot etganlar soni 16 kishiga yetdi.  👉,0.0
kunonline,11937.0,2023-04-28 12:49:32+00:00,RF prezidenti V.Putin Rossiya armiyasini obroʻsizlantirish va milliy xavfsizlikka tahdid soluvchi harakatlar uchun orttirilgan fuqarolikdan mahrum qilish toʻgʻrisidagi qonunni imzoladi.   👉,0.0
kunonline,11938.0,2023-04-28 14:15:08+00:00,Rossiyaning Ukraina bilan chegaradagi Belgorod viloyatida mina portlashi oqibatida 4 kishi halok bo'ldi.  👉,0.0
kunonline,11939.0,2023-04-28 14:24:01+00:00,Umanda qurbonlar soni 20 nafarga yetdi.   Vayronalar orasidan yana 4 kishining jasadi topilgan.  👉,0.0
kunonline,11940.0,2023-04-28 15:45:02+00:00,"Ukraina, Chexiya va Slovakiya prezidentlari Kiyevda umumiy deklaratsiya imzolashdi    Chexiya Ukrainaga qurol-yarogʻ ishlab chiqarish texnologiyasini taqdim etib, kelgusida Ukraina hududida qurol ishlab chiqarishni yoʻlga qoʻyadi, — degan Chexiya prezidenti Petr Pavel.  👉",0.0
kunonline,11941.0,2023-04-28 16:01:00+00:00,🇹🇷 Turkiyada kattaligi boʻyicha toʻrtinchi yangi koʻprik ochildi    Uzunligi 1669 metr boʻlgan “15-iyul Adana shahidlari” avtomobil va temiryoʻl koʻprigi bugundan ishga tushirildi  👉,0.0
kunonline,11942.0,2023-04-28 16:20:24+00:00,"🇨🇳   Xitoyda umumiy quvvati 26,8 million KW boʻlgan 24 ta atom elektr stansiyalari qurilmoqda    Bu bir vaqtda qurilayotgan AESlar soni boʻyicha mutlaq rekord. Ayni paytda Xitoyda umumiy quvvati 50,8 GW boʻlgan 18 ta AES faoliyat koʻrsatmoqda.  👉",0.0
kunonline,11943.0,2023-04-29 03:01:26+00:00,🇷🇺   “Mediazona” va BBC jurnalistlari Rossiyaning Ukrainaga bostirib kirganidan soʻng urushda halok boʻlgan 21 ming 700 nafar askarlarning nomma-nom qabrlarini ochiq manbalardan aniqlashtirgan.    Haqiqiy yoʻqotishlar soni 3 barobargacha koʻproq ekani gumon qilinadi.  👉,0.0
kunonline,11944.0,2023-04-29 03:31:05+00:00,🇺🇦 Ukrainaning Cherkass oblasti Uman shahrida koʻp qavatli uyga Rossiya QK tomonidan raketa zarbasi berilishi oqibatida oʻlganlar soni 23 kishiga yetdi. Ularning 4 nafari yosh bolalar  👉,0.0
kunonline,11945.0,2023-04-29 04:02:02+00:00,🇨🇳   Xitoyning BYD elektromobil ishlab chiqaruvchi kompaniyasining sof foydasi 2023-yilning I choragida 411 foizga oʻsgan    Eng yirik investor Uorren Baffetning Berkshire Hathaway kompaniyasi boʻlgan BYD Xitoy elektromobil bozorida allaqachon bozorning 40 foizini egallagan. Ilon Maskning Teslaʻsi 11 foiz ulushga ega.  👉,0.0
kunonline,11946.0,2023-04-29 04:31:50+00:00,Yevrokomissiya Rossiyaga sanksiya ostidagi mahsulotlarni qayta eksport qilayotgan mamlakatlarga maʼlum bir tovarlar eksportini cheklovchi huquqiy mexanizm tayyorlamoqda  👉,0.0
kunonline,11947.0,2023-04-29 05:01:59+00:00,Qarshi shahridagi xonadonlardan birida albinos qaldirgʻoch tuxumdan ochib chiqdi.  👉,0.0
